Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
attClassTechnicianMasterRank1LongDesc,progression,Attribute,New,"Unlocks level one technician class perks once the first class quest is completed.  Player Level requirements also need to be met.",,,,,
attClassTechnicianMasterRank2Desc,progression,Attribute,New,"Level Two",,,,,
attClassTechnicianMasterRank2LongDesc,progression,Attribute,New,"Unlocks level two technician class perks once the third class quest is completed.  Player Level requirements also need to be met.",,,,,
attClassTechnicianMasterRank3Desc,progression,Attribute,New,"Level Three",,,,,
attClassTechnicianMasterRank3LongDesc,progression,Attribute,New,"Unlocks level three technician class perks once the class quest chain is completed.  Player Level requirements also need to be met.",,,,,

attclasstradesmanmaster,progression,Attribute,New,Class Tradesman,,,,,
attClassTradesmanMasterName,progression,Attribute,New,Class: Tradesman,,,,,
attClassTradesmanMasterDesc,progression,Attribute,New,"Tradesman class perks consists of: better barter, miner 69er, motherlode, daring adventurer, lock picking, rule 1 cardio, ammo expertise, construction expertise and workstation expertise.",,,,,
attClassTradesmanMasterRank1Desc,progression,Attribute,New,"Level One",,,,,
attClassTradesmanMasterRank1LongDesc,progression,Attribute,New,"Unlocks level one tradesman class perks once the first class quest is completed.  Player Level requirements also need to be met.",,,,,
attClassTradesmanMasterRank2Desc,progression,Attribute,New,"Level Two",,,,,
attClassTradesmanMasterRank2LongDesc,progression,Attribute,New,"Unlocks level two tradesman class perks once the third class quest is completed.  Player Level requirements also need to be met.",,,,,
attClassTradesmanMasterRank3Desc,progression,Attribute,New,"Level Three",,,,,
attClassTradesmanMasterRank3LongDesc,progression,Attribute,New,"Unlocks level three tradesman class perks once the class quest chain is completed.  Player Level requirements also need to be met.",,,,,

attadvbenefits,progression,Attribute,New,Advanced Benefits,,,,,
attAdvBenefitsName,progression,Attribute, New,Advanced Benefits,,,,,
attAdvBenefitsDesc,progression,Attribute,New,"At higher levels these perks will unlock offering you better benefits that will help you survive the apocalypse",,,,,
attAdvBenefitsRank1Desc,progression,Attribute,New,"At higher levels these perks will unlock offering you better benefits that will help you survive the apocalypse",,,,,

skillCovertLevel1,progression,Attribute,New,Covert Defenses:,,,,,
skillCovertLevel1Name,progression,Attribute,New,Covert Defenses:,,,,,
skillCovertLevel1Desc,progression,Attribute,New,"Level One of Covert Class unlocks the following perks.",,,,,

skillCovertLevel2,progression,Attribute,New,Hide & Seek:,,,,,
skillCovertLevel2Name,progression,Attribute,New,Hide & Seek:,,,,,
skillCovertLevel2Desc,progression,Attribute,New,"Level Two of Covert Class unlocks the following perks.",,,,,

skillCovertLevel3,progression,Attribute,New,Explosive Fighting:,,,,,
skillCovertLevel3Name,progression,Attribute,New,Explosive Fighting:,,,,,
skillCovertLevel3Desc,progression,Attribute,New,"Level Three of Covert Class unlocks the following perks.",,,,,

skillSoldierLevel1,progression,Attribute,New,Soldier Defenses:,,,,,
skillSoldierLevel1Name,progression,Attribute,New,Soldier Defenses:,,,,,
skillSoldierLevel1Desc,progression,Attribute,New,"Level One of Soldier Class unlocks the following perks.",,,,,

skillSoldierLevel2,progression,Attribute,New,Melee Offense:,,,,,
skillSoldierLevel2Name,progression,Attribute,New,Melee Offense:,,,,,
skillSoldierLevel2Desc,progression,Attribute,New,"Level Two of Soldier Class unlocks the following perks.",,,,,

skillSoldierLevel3,progression,Attribute,New,Firearm Offense:,,,,,
skillSoldierLevel3Name,progression,Attribute,New,Firearm Offense:,,,,,
skillSoldierLevel3Desc,progression,Attribute,New,"Level Three of Soldier Class unlocks the following perks.",,,,,

skillSurvivalist1,progression,Attribute,New,Survival Skills:,,,,,
skillSurvivalist1Name,progression,Attribute,New,Survival Skills:,,,,,
skillSurvivalist1Desc,progression,Attribute,New,"Level One of Survivalist Class unlocks the following perks.",,,,,

skillSurvivalist2,progression,Attribute,New,Expert Hunting & Foraging:,,,,,
skillSurvivalist2Name,progression,Attribute,New,Expert Hunting & Foraging:,,,,,
skillSurvivalist2Desc,progression,Attribute,New,"Level Two of Survivalist Class unlocks the following perks.",,,,,

skillSurvivalist3,progression,Attribute,New,Well Being:,,,,,
skillSurvivalist3Name,progression,Attribute,New,Well Being:,,,,,
skillSurvivalist3Desc,progression,Attribute,New,"Level Three of Survivalist Class unlocks the following perks.",,,,,

skillTechnician1,progression,Attribute,New,Loot & Pack:,,,,,
skillTechnician1Name,progression,Attribute,New,Loot & Pack:,,,,,
skillTechnician1Desc,progression,Attribute,New,"Level One of Technician Class unlocks the following perks.",,,,,

skillTechnician2,progression,Attribute,New,Caring Operator:,,,,,
skillTechnician2Name,progression,Attribute,New,Caring Operator:,,,,,
skillTechnician2Desc,progression,Attribute,New,"Level Two of Technician Class unlocks the following perks.",,,,,

skillTechnician3,progression,Attribute,New,Engineering:,,,,,
skillTechnician3Name,progression,Attribute,New,Engineering:,,,,,
skillTechnician3Desc,progression,Attribute,New,"Level Three of Technician Class unlocks the following perks.",,,,,

skillTradesman1,progression,Attribute,New,Bartering Miner:,,,,,
skillTradesman1Name,progression,Attribute,New,Bartering Miner:,,,,,
skillTradesman1Desc,progression,Attribute,New,"Level One of Tradesman Class unlocks the following perks.",,,,,

skillTradesman2,progression,Attribute,New,Rewarding Run:,,,,,
skillTradesman2Name,progression,Attribute,New,Rewarding Run:,,,,,
skillTradesman2Desc,progression,Attribute,New,"Level Two of Tradesman Class unlocks the following perks.",,,,,

skillTradesman3,progression,Attribute,New,Craftsman Skills:,,,,,
skillTradesman3Name,progression,Attribute,New,Craftsman Skills:,,,,,
skillTradesman3Desc,progression,Attribute,New,"Level Three of Tradesman Class unlocks the following perks.",,,,,

skillAdvBenefit1,progression,Attribute,New,Operations:,,,,,
skillAdvBenefit1Name,progression,Attribute,New,Operations:,,,,,
skillAdvBenefit1Desc,progression,Attribute,New,"High player level perks to give you better quality of life.",,,,,

skillAdvBenefit2,progression,Attribute,New,Barter & Dash:,,,,,
skillAdvBenefit2Name,progression,Attribute,New,Barter & Dash:,,,,,
skillAdvBenefit2Desc,progression,Attribute,New,"High player level perks to give you better quality of life.",,,,,

skillAdvBenefit3,progression,Attribute,New,Life Support:,,,,,
skillAdvBenefit3Name,progression,Attribute,New,Life Support:,,,,,
skillAdvBenefit3Desc,progression,Attribute,New,"High player level perks to give you better quality of life.",,,,,

skillAdvBenefit4,progression,Attribute,New,Magazine Bonus Perks:,,,,,
skillAdvBenefit4Name,progression,Attribute,New,Magazine Bonus Perks:,,,,,
skillAdvBenefit4Desc,progression,Attribute,New,"Mag Loot Bonus Mods you craft and equip to glasses will increase these levels",,,,,

skillCarryingCapacityName,progression,Skill,New,Smart Packaging,,,,,
skillCarryingCapacityDesc,progression,Skill,New,"Reading each volume will grant you the ability to carry even more items without becoming encumbered. Reading the full set will grant you 5% boost to walking and runnning speed.",,,,,

perkEnforcerAPAmmoDesc,progression,Perk,New,"Gain 20% more experience while using a 44 Magnum.",,,,,
perkEnforcerAPAmmoLongDesc,progression,Perk,New,"Gain 20% more experience while using a 44 Magnum.",,,,,
perkEnforcerHPAmmoDesc,progression,Perk,New,"Increased 44 mag ammo in loot.",,,,,
perkEnforcerHPAmmoLongDesc,progression,Perk,New,"Increased 44 mag ammo in loot",,,,,
perkEnforcerCompleteDesc,progression,Perk,New,"All shots with .44 ammo penetrate enemies.",,,,,
perkEnforcerCompleteLongDesc,progression,Perk,New,"All shots with .44 ammo penetrate enemies.",,,,,

perkPistolPeteHPAmmoDesc,progression,Perk,New,"Increase experience gain by 20% while using 9mm guns.",,,,,
perkPistolPeteHPAmmoLongDesc,progression,Perk,New,"Increase experience gain by 20% while using 9mm guns.",,,,,
perkPistolPeteAPAmmoDesc,progression,Perk,New,"Increase 9mm ammo in loot.",,,,,
perkPistolPeteAPAmmoLongDesc,progression,Perk,New,"Increase 9mm ammo in loot.",,,,,
perkPistolPeteCompleteDesc,progression,Perk,New,"Shots fired at point blank ignore armor.",,,,,
perkPistolPeteCompleteLongDesc,progression,Perk,New,"Shots fired at point blank ignore armor.",,,,,

perkRangersExplodingBoltsDesc,progression,Perk,New,"Gain 20% more experience while using bows/crossbows.",,,,,
perkRangersExplodingBoltsLongDesc,progression,Perk,New,"Gain 20% more experience while using bows/crossbows.",,,,,
perkRangersAPAmmoDesc,progression,Perk,New,"Increase arrow and bolts in loot.",,,,,
perkRangersAPAmmoLongDesc,progression,Perk,New,"Increase arrow and bolts in loot.",,,,,
perkRangersFlamingArrowsDesc,progression,Perk,New,"Learn how to craft a Arrow Rest Mod and a Polymer String Mod.",,,,,
perkRangersFlamingArrowsLongDesc,progression,Perk,New,"Learn how to craft a Arrow Rest Mod and a Polymer String Mod.",,,,,
perkRangersCompleteDesc,progression,Perk,New,"Adds bleed chance to enemies while using bows or crossbows.",,,,,
perkRangersCompleteLongDesc,progression,Perk,New,"Adds bleed chance to enemies while using bows or crossbows.",,,,,

perkShotgunMessiahBreachingSlugsDesc,progression,Perk,New,"Increase experience gain by 20% while using shotguns.",,,,,
perkShotgunMessiahBreachingSlugsLongDesc,progression,Perk,New,"Increase experience gain by 20% while using shotguns.",,,,,
perkShotgunMessiahSlugsDesc,progression,Perk,New,"Increase shotgun ammuntion in loot.",,,,,
perkShotgunMessiahSlugsLongDesc,progression,Perk,New,"Increase shotgun ammuntion in loot.",,,,,
perkShotgunMessiahCompleteDesc,progression,perk,New,"Increased entity damage by 30% while using shotguns.",,,,,
perkShotgunMessiahCompleteLongDesc,progression,perk,New,"Increased entity damage by 30% while using shotguns.",,,,,

perkSniperAPAmmoDesc,progression,Perk,New,"Increase experience gain by 20% while using rifles.",,,,,
perkSniperAPAmmoLongDesc,progression,Perk,New,"Increase experience gain by 20% while using rifles.",,,,,
perkSniperHPAmmoDesc,progression,Perk,New,"Increase 7.62mm ammunition in loot.",,,,,
perkSniperHPAmmoLongDesc,progression,Perk,New,"Increase 7.62mm ammunition in loot.",,,,,
perkSniperCompleteDesc,progression,Perk,New,"Unlocks recipe to craft a ghillie suit.",,,,,
perkSniperCompleteLongDesc,progression,Perk,New,"Unlocks recipe to craft a ghillie suit.",,,,,

perkArtOfMiningPalletsDesc,progression,Perk,New,"Increase experience gain by 20% while using mining tools.",,,,,
perkArtOfMiningPalletsLongDesc,progression,Perk,New,"Increase experience gain by 20% while using mining tools.",,,,,

perkCarryingCapacitySmallName,progression,Perk,New,Carrying Capacity Book One,,,,,
perkCarryingCapacitySmallDesc,progression,Perk,New,"Reading this book will allow you to carry 6 more items.",,,,,
perkCarryingCapacityMediumName,progression,Perk,New,Carrying Capacity Book Two,,,,,
perkCarryingCapacityMediumDesc,progression,Perk,New,"Reading this book will allow you to carry 6 more items.",,,,,
perkCarryingCapacityLargeName,progression,Perk,New,Carrying Capacity Book Three,,,,,
perkCarryingCapacityLargeDesc,progression,Perk,New,"Reading this book will allow you to carry 12 more items.",,,,,
perkCarryingCapacityCompleteName,progression,Perk,New,Complete Smart Packaging,,,,,
perkCarryingCapacityCompleteDesc,progression,Perk,New,"After reading all 3 volumes, you have increased carrying capacity limits to the maxium and have now been granted a 5% bonus to your walking and running speed!",,,,,
skillDwallsBooksName,progression,Perk,New,Dwalls Books,,,,,
skillDwallsBooksDesc,progression,Perk,New,"A series of books by Dwall that will you give you a better chance at surviving the apocalipse.",,,,,
perkDBChickenEggsName,progression,Perk,New,Chicken Eggs,,,,,
perkDBChickenEggsDesc,progression,Perk,New,"Reading this book will grant you the ability to harvest eggs from chickens.  Chickens comes first, eggs come second.",,,,,
perkDBNightVisionName,progression,Perk,New,Night Vision Mod,,,,,
perkDBNightVisionDesc,progression,Perk,New,"Reading this book will teach you how to craft a night vision mod.",,,,,
perkDBSilentTrashName,progression,Perk,New,Silent Trash,,,,,
perkDBSilentTrashDesc,progression,Perk,New,"Reading this book will grant you the ability to walk over trash and never make a sound even when standing!",,,,,
perkDBExpCardsName,progression,Perk,New,Experience Cards,,,,,
perkDBExpCardsDesc,progression,Perk,New,"Reading this book will grant you the ability to gain a chance at harvesting experience cards from surface boulders found in the world.",,,,,
perkDBFeralDamageName,progression,Perk,New,Feral Damage,,,,,
perkDBFeralDamageDesc,progression,Perk,New,"Reading this book will give you 10% bonus damage to ferals.",,,,,
perkDBRadiatedDamageName,progression,Perk,New,Radiated Damage,,,,,
perkDBRadiatedDamageDesc,progression,Perk,New,"Reading this book will give you 10% bonus damage to radiated.",,,,,
perkDBNightBuildingCraftingName,progression,Perk,New,Night Building & Crafting,,,,,
perkDBNightBuildingCraftingDesc,progression,Perk,New,"Reading this book will grant you 10% bonus experience gain when crafting and building at night.",,,,,
perkDBCompleteName,progression,Perk,New,Dwalls Books Completion,,,,,
perkDBCompleteDesc,progression,Perk,New,"Completion of this book series grants you a chance to harvest seeds from wild crops.",,,,,

nonPurchasablePerkDesc,progression,Perk,New,"Non-Purchasable Level for backend purposes.  No effect on player",,,,,

perkASPickaxesName,progression,Perk,New,Action Skills: Pickaxes,,,,,
perkASPickaxesDesc,progression,Perk,New,"Using any pickaxe will grant you experience in this skill which will level up over time.  Higher levels will grant higher block damage, higher harvest counts, less stamina usage, higher player experience gain and faster attack speeds.",,,,,
perkASPickaxesRank1Desc,progression,Perk,New,"1% bonus block damage, 1% higher harvest count, 1% less stamina usage, 1% higher player experience, 1% faster attacks.",,,,,
perkASPickaxesRank5Desc,progression,Perk,New,"3% bonus block damage, 3% higher harvest count, 2% less stamina usage, 1.6% higher player experience, 1.4% faster attacks.",,,,,
perkASPickaxesRank10Desc,progression,Perk,New,"5.5% bonus block damage, 5.5% higher harvest count, 3.2% less stamina usage, 2.3% higher player experience, 1.8% faster attacks.",,,,,
perkASPickaxesRank15Desc,progression,Perk,New,"7.9% bonus block damage, 7.9% higher harvest count, 4.4% less stamina usage, 3% higher player experience, 2.3% faster attacks.",,,,,
perkASPickaxesRank20Desc,progression,Perk,New,"10.4% bonus block damage, 10.4% higher harvest count, 5.6% less stamina usage, 3.7% higher player experience, 2.7% faster attacks.",,,,,
perkASPickaxesRank25Desc,progression,Perk,New,"12.9% bonus block damage, 12.9% higher harvest count, 6.8% less stamina usage, 4.4% higher player experience, 3.2% faster attacks.",,,,,
perkASPickaxesRank30Desc,progression,Perk,New,"15.4% bonus block damage, 15.4% higher harvest count, 8% less stamina usage, 5.1% higher player experience, 3.6% faster attacks.",,,,,
perkASPickaxesRank35Desc,progression,Perk,New,"17.8% bonus block damage, 17.8% higher harvest count, 9.2% less stamina usage, 5.8% higher player experience, 4.1% faster attacks.",,,,,
perkASPickaxesRank40Desc,progression,Perk,New,"20.3% bonus block damage, 20.3% higher harvest count, 10.5% less stamina usage, 6.5% higher player experience, 4.5% faster attacks.",,,,,
perkASPickaxesRank45Desc,progression,Perk,New,"22.8% bonus block damage, 22.8% higher harvest count, 11.7% less stamina usage, 7.2% higher player experience, 5% faster attacks.",,,,,
perkASPickaxesRank50Desc,progression,Perk,New,"25.3% bonus block damage, 25.3% higher harvest count, 12.9% less stamina usage, 7.9% higher player experience, 5.5% faster attacks.",,,,,
perkASPickaxesRank55Desc,progression,Perk,New,"27.7% bonus block damage, 27.7% higher harvest count, 14.1% less stamina usage, 8.6% higher player experience, 5.9% faster attacks.",,,,,
perkASPickaxesRank60Desc,progression,Perk,New,"30.2% bonus block damage, 30.2% higher harvest count, 15.3% less stamina usage, 9.3% higher player experience, 6.4% faster attacks.",,,,,
perkASPickaxesRank65Desc,progression,Perk,New,"32.7% bonus block damage, 32.7% higher harvest count, 16.5% less stamina usage, 10.1% higher player experience, 6.8% faster attacks.",,,,,
perkASPickaxesRank70Desc,progression,Perk,New,"35.2% bonus block damage, 35.2% higher harvest count, 17.7% less stamina usage, 10.8% higher player experience, 7.3% faster attacks.",,,,,
perkASPickaxesRank75Desc,progression,Perk,New,"37.6% bonus block damage, 37.6% higher harvest count, 18.9% less stamina usage, 11.5% higher player experience, 7.7% faster attacks.",,,,,
perkASPickaxesRank80Desc,progression,Perk,New,"40.1% bonus block damage, 40.1% higher harvest count, 20.2% less stamina usage, 12.2% higher player experience, 8.2% faster attacks.",,,,,
perkASPickaxesRank85Desc,progression,Perk,New,"42.6% bonus block damage, 42.6% higher harvest count, 21.4% less stamina usage, 12.9% higher player experience, 8.6% faster attacks.",,,,,
perkASPickaxesRank90Desc,progression,Perk,New,"45.1% bonus block damage, 45.1% higher harvest count, 22.6% less stamina usage, 13.6% higher player experience, 9.1% faster attacks.",,,,,
perkASPickaxesRank95Desc,progression,Perk,New,"47.5% bonus block damage, 47.5% higher harvest count, 23.8% less stamina usage, 14.3% higher player experience, 9.5% faster attacks.",,,,,
perkASPickaxesRank100Desc,progression,Perk,New,"50% bonus block damage, 50% higher harvest count, 25% less stamina usage, 15% higher player experience, 10% faster attacks.",,,,,

perkASAxesName,progression,Perk,New,Action Skills: Axes,,,,,
perkASAxesDesc,progression,Perk,New,"Using any axe will grant you experience in this skill which will level up over time.  Higher levels will grant higher block damage, higher harvest counts, less stamina usage, higher player experience gain and faster attack speeds.",,,,,
perkASAxesRank1Desc,progression,Perk,New,"1% bonus block damage, 1% higher harvest count, 1% less stamina usage, 1% higher player experience, 1% faster attacks.",,,,,
perkASAxesRank5Desc,progression,Perk,New,"3% bonus block damage, 3% higher harvest count, 2% less stamina usage, 1.6% higher player experience, 1.4% faster attacks.",,,,,
perkASAxesRank10Desc,progression,Perk,New,"5.5% bonus block damage, 5.5% higher harvest count, 3.2% less stamina usage, 2.3% higher player experience, 1.8% faster attacks.",,,,,
perkASAxesRank15Desc,progression,Perk,New,"7.9% bonus block damage, 7.9% higher harvest count, 4.4% less stamina usage, 3% higher player experience, 2.3% faster attacks.",,,,,
perkASAxesRank20Desc,progression,Perk,New,"10.4% bonus block damage, 10.4% higher harvest count, 5.6% less stamina usage, 3.7% higher player experience, 2.7% faster attacks.",,,,,
perkASAxesRank25Desc,progression,Perk,New,"12.9% bonus block damage, 12.9% higher harvest count, 6.8% less stamina usage, 4.4% higher player experience, 3.2% faster attacks.",,,,,
perkASAxesRank30Desc,progression,Perk,New,"15.4% bonus block damage, 15.4% higher harvest count, 8% less stamina usage, 5.1% higher player experience, 3.6% faster attacks.",,,,,
perkASAxesRank35Desc,progression,Perk,New,"17.8% bonus block damage, 17.8% higher harvest count, 9.2% less stamina usage, 5.8% higher player experience, 4.1% faster attacks.",,,,,
perkASAxesRank40Desc,progression,Perk,New,"20.3% bonus block damage, 20.3% higher harvest count, 10.5% less stamina usage, 6.5% higher player experience, 4.5% faster attacks.",,,,,
perkASAxesRank45Desc,progression,Perk,New,"22.8% bonus block damage, 22.8% higher harvest count, 11.7% less stamina usage, 7.2% higher player experience, 5% faster attacks.",,,,,
perkASAxesRank50Desc,progression,Perk,New,"25.3% bonus block damage, 25.3% higher harvest count, 12.9% less stamina usage, 7.9% higher player experience, 5.5% faster attacks.",,,,,
perkASAxesRank55Desc,progression,Perk,New,"27.7% bonus block damage, 27.7% higher harvest count, 14.1% less stamina usage, 8.6% higher player experience, 5.9% faster attacks.",,,,,
perkASAxesRank60Desc,progression,Perk,New,"30.2% bonus block damage, 30.2% higher harvest count, 15.3% less stamina usage, 9.3% higher player experience, 6.4% faster attacks.",,,,,
perkASAxesRank65Desc,progression,Perk,New,"32.7% bonus block damage, 32.7% higher harvest count, 16.5% less stamina usage, 10.1% higher player experience, 6.8% faster attacks.",,,,,
perkASAxesRank70Desc,progression,Perk,New,"35.2% bonus block damage, 35.2% higher harvest count, 17.7% less stamina usage, 10.8% higher player experience, 7.3% faster attacks.",,,,,
perkASAxesRank75Desc,progression,Perk,New,"37.6% bonus block damage, 37.6% higher harvest count, 18.9% less stamina usage, 11.5% higher player experience, 7.7% faster attacks.",,,,,
perkASAxesRank80Desc,progression,Perk,New,"40.1% bonus block damage, 40.1% higher harvest count, 20.2% less stamina usage, 12.2% higher player experience, 8.2% faster attacks.",,,,,
perkASAxesRank85Desc,progression,Perk,New,"42.6% bonus block damage, 42.6% higher harvest count, 21.4% less stamina usage, 12.9% higher player experience, 8.6% faster attacks.",,,,,
perkASAxesRank90Desc,progression,Perk,New,"45.1% bonus block damage, 45.1% higher harvest count, 22.6% less stamina usage, 13.6% higher player experience, 9.1% faster attacks.",,,,,
perkASAxesRank95Desc,progression,Perk,New,"47.5% bonus block damage, 47.5% higher harvest count, 23.8% less stamina usage, 14.3% higher player experience, 9.5% faster attacks.",,,,,
perkASAxesRank100Desc,progression,Perk,New,"50% bonus block damage, 50% higher harvest count, 25% less stamina usage, 15% higher player experience, 10% faster attacks.",,,,,

perkASShovelsName,progression,Perk,New,Action Skills: Shovels,,,,,
perkASShovelsDesc,progression,Perk,New,"Using any shovel will grant you experience in this skill which will level up over time.  Higher levels will grant higher block damage, higher harvest counts, less stamina usage, higher player experience gain and faster attack speeds.",,,,,
perkASShovelsRank1Desc,progression,Perk,New,"1% bonus block damage, 1% higher harvest count, 1% less stamina usage, 1% higher player experience, 1% faster attacks.",,,,,
perkASShovelsRank5Desc,progression,Perk,New,"3% bonus block damage, 3% higher harvest count, 2% less stamina usage, 1.6% higher player experience, 1.4% faster attacks.",,,,,
perkASShovelsRank10Desc,progression,Perk,New,"5.5% bonus block damage, 5.5% higher harvest count, 3.2% less stamina usage, 2.3% higher player experience, 1.8% faster attacks.",,,,,
perkASShovelsRank15Desc,progression,Perk,New,"7.9% bonus block damage, 7.9% higher harvest count, 4.4% less stamina usage, 3% higher player experience, 2.3% faster attacks.",,,,,
perkASShovelsRank20Desc,progression,Perk,New,"10.4% bonus block damage, 10.4% higher harvest count, 5.6% less stamina usage, 3.7% higher player experience, 2.7% faster attacks.",,,,,
perkASShovelsRank25Desc,progression,Perk,New,"12.9% bonus block damage, 12.9% higher harvest count, 6.8% less stamina usage, 4.4% higher player experience, 3.2% faster attacks.",,,,,
perkASShovelsRank30Desc,progression,Perk,New,"15.4% bonus block damage, 15.4% higher harvest count, 8% less stamina usage, 5.1% higher player experience, 3.6% faster attacks.",,,,,
perkASShovelsRank35Desc,progression,Perk,New,"17.8% bonus block damage, 17.8% higher harvest count, 9.2% less stamina usage, 5.8% higher player experience, 4.1% faster attacks.",,,,,
perkASShovelsRank40Desc,progression,Perk,New,"20.3% bonus block damage, 20.3% higher harvest count, 10.5% less stamina usage, 6.5% higher player experience, 4.5% faster attacks.",,,,,
perkASShovelsRank45Desc,progression,Perk,New,"22.8% bonus block damage, 22.8% higher harvest count, 11.7% less stamina usage, 7.2% higher player experience, 5% faster attacks.",,,,,
perkASShovelsRank50Desc,progression,Perk,New,"25.3% bonus block damage, 25.3% higher harvest count, 12.9% less stamina usage, 7.9% higher player experience, 5.5% faster attacks.",,,,,
perkASShovelsRank55Desc,progression,Perk,New,"27.7% bonus block damage, 27.7% higher harvest count, 14.1% less stamina usage, 8.6% higher player experience, 5.9% faster attacks.",,,,,
perkASShovelsRank60Desc,progression,Perk,New,"30.2% bonus block damage, 30.2% higher harvest count, 15.3% less stamina usage, 9.3% higher player experience, 6.4% faster attacks.",,,,,
perkASShovelsRank65Desc,progression,Perk,New,"32.7% bonus block damage, 32.7% higher harvest count, 16.5% less stamina usage, 10.1% higher player experience, 6.8% faster attacks.",,,,,
perkASShovelsRank70Desc,progression,Perk,New,"35.2% bonus block damage, 35.2% higher harvest count, 17.7% less stamina usage, 10.8% higher player experience, 7.3% faster attacks.",,,,,
perkASShovelsRank75Desc,progression,Perk,New,"37.6% bonus block damage, 37.6% higher harvest count, 18.9% less stamina usage, 11.5% higher player experience, 7.7% faster attacks.",,,,,
perkASShovelsRank80Desc,progression,Perk,New,"40.1% bonus block damage, 40.1% higher harvest count, 20.2% less stamina usage, 12.2% higher player experience, 8.2% faster attacks.",,,,,
perkASShovelsRank85Desc,progression,Perk,New,"42.6% bonus block damage, 42.6% higher harvest count, 21.4% less stamina usage, 12.9% higher player experience, 8.6% faster attacks.",,,,,
perkASShovelsRank90Desc,progression,Perk,New,"45.1% bonus block damage, 45.1% higher harvest count, 22.6% less stamina usage, 13.6% higher player experience, 9.1% faster attacks.",,,,,
